,text,target
46,State Party Chairman James Dorsey added that enthusiasm was picking up for a state rally to be held 8 in Savannah at which newly elected Texas John Tower will be the featured speaker,brown_university_corpus
47,can you cancel my flight cause it s wrong ?,airline_corpus
48,Despite the warning there was a unanimous vote to enter a candidate according to Republicans who attended,brown_university_corpus
49,please tell me how to change the mistake in the booked flight for the wrong day,airline_corpus
50,The largest hurdle the Republicans would have to face is a state law which says that before making a first race one of two alternative courses must be taken 1,brown_university_corpus
51,good excuse I need to change my ticket date,airline_corpus
52,The Republicans must hold a primary under the county unit system a system which the party opposes in its platform,brown_university_corpus
53,can i change the date ?,airline_corpus
54,resignation had been expected for some time,brown_university_corpus
55,I need another ticker,airline_corpus
56,When the gubernatorial campaign starts Caldwell is expected to become a campaign coordinator for Byrd,brown_university_corpus
57,Can I reissue the ticket for the date I need?,airline_corpus
58,Before adjournment Monday afternoon the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made,brown_university_corpus
59,"Sorry, I just realized that I have booked my flight for a wrong day, can you help me to reschedule it?",airline_corpus
60,Vandiver likely will mention the million highway bond issue approved earlier in the session as his first priority item,brown_university_corpus
61,How can I reschedule my flight for another date?,airline_corpus
62,Meanwhile it was learned the State Highway Department is very near being ready to issue the first million worth of highway reconstruction bonds,brown_university_corpus
63,i booked a flight for the wrong day can i change it ?,airline_corpus
64,A Highway Department source said there also is a plan there to issue some million to million worth of Rural Roads Authority bonds for rural road construction work,brown_university_corpus
65,"I am very unhappy with the service of the airline and demand a refund, to whom should I go?",airline_corpus
66,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities,brown_university_corpus
67,I had a bad experience on the plane and would like some money back,airline_corpus
68,The Highway Department source told The Constitution however that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds,brown_university_corpus
69,I'd like to return the money!,airline_corpus
70,Pelham said Sunday night there was research being done on whether the quickie vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought,brown_university_corpus
71,"Volar con uds me ha enfermado, a quien me dirijo para evitar que los demande?",airline_corpus
72,A similar resolution passed in the Senate by a vote of,brown_university_corpus
73,Where is the complaint department,airline_corpus
74,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions,brown_university_corpus
75,What happened to him on the flight?,airline_corpus
76,Mac Barber of Commerce is asking the House in a privilege resolution to endorse increased federal support for public education provided that such funds be received and expended as state funds,brown_university_corpus
77,it was a terrible flight I think they should give us back the money,airline_corpus
78,But he added that none of congressmen specifically asked him to offer the resolution,brown_university_corpus
79,I need a compensation for a bad flight,airline_corpus
80,It says that in the event Congress does provide this increase in federal funds the State Board of Education should be directed to give priority to teacher pay raises,brown_university_corpus
81,I would like a compensation,airline_corpus
82,After a long hot controversy Miller County has a new school superintendent elected as a policeman put it in the coolest election I ever saw in this county,brown_university_corpus
83,"I stumbled, I needed some money, please",airline_corpus
84,Davis received votes in election and Bush got 402,brown_university_corpus
85,I want a refund for bad experience.,airline_corpus
86,This was the coolest calmest election I ever saw Colquitt Policeman Tom Williams said,brown_university_corpus
87,I had a terrible flight and I want my money back.,airline_corpus
88,I smell a drop of liquor and we have a bit of trouble,brown_university_corpus
89,"it was bad, I'm coming back, I need a refund",airline_corpus
90,It was marked by controversy anonymous midnight phone calls and veiled threats of violence,brown_university_corpus
91,Where can I fill the form for money returning?,airline_corpus
92,During the election campaign both candidates Davis and Bush reportedly received anonymous telephone calls,brown_university_corpus
93,I had a bad flight I need money,airline_corpus
94,Many local citizens feared that there would be irregularities at the polls and Williams got himself a permit to carry a gun and promised an orderly election,brown_university_corpus
95,I need a ticket for next possible flight.,airline_corpus
96,Everything went real smooth the sheriff said,brown_university_corpus
97,I LOST MY FLIGHT AND I NEED TO REACH MY DESTINY WHAT I SHOULD DO,airline_corpus
98,Austin Texas,brown_university_corpus
99,I need to get the soonest flight possible.,airline_corpus
100,Daniel personally led the fight for the measure which he had watered down considerably since its rejection by two previous Legislatures in a public hearing before the House Committee on Revenue and Taxation,brown_university_corpus
101,"I would like to request a flight to the same destination and as soon as possible, I missed the flight that just left, please.",airline_corpus
102,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it,brown_university_corpus
103,Can you help me get a new flight?,airline_corpus
104,He told the committee the measure would merely provide means of enforcing the escheat law which has been on the books since Texas was a republic,brown_university_corpus
105,"I lost my flight, which is the next one that leaves",airline_corpus
106,The bill which Daniel said he drafted personally would force banks insurance firms pipeline companies and other corporations to report such property to the state treasurer,brown_university_corpus
107,hi could you please tell me again the information that i did not understand,airline_corpus
108,Dewey Lawrence a Tyler lawyer representing the Texas Bankers Association sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers,brown_university_corpus
109,Can you assist me to sign up for a frequent flyer program?,airline_corpus
110,You take out of circulation many millions of dollars,brown_university_corpus
112,His contention was denied by several bankers including Scott Hudson of Sherman Gaynor Jones of Houston Brady of Harlingen and Howard Cox of Austin,brown_university_corpus
113,What is the nearest flight time?,airline_corpus
114,He also complained that not enough notice was given on the hearing since the bill was introduced only last Monday,brown_university_corpus
115,I would like to reschedule my flight as soon as possible,airline_corpus
116,Senators unanimously approved Thursday the bill of George Parkhouse of Dallas authorizing establishment of day schools for the deaf in Dallas and the four other largest counties,brown_university_corpus
117,Can you help me get a new flight?,airline_corpus
118,There was no debate as the Senate passed the bill on to the House,brown_university_corpus
119,"I delayed by traffic, and lost my flight, will there be one soon?",airline_corpus
120,Operating budget for the day schools in the five counties of Dallas Harris Bexar Tarrant and El Paso would be which would be a savings of yearly after the first capital outlay of was absorbed Parkhouse told the Senate,brown_university_corpus
121,"I get sick and can not travel, give me the next flight",airline_corpus
122,Dallas may get to hear a debate on horse race parimutuels soon between Red Berry and Joe Ratcliff,brown_university_corpus
123,Could you find a new flight to my destiny?,airline_corpus
124,getting more pro letters than con on horse race betting said Ratcliff,brown_university_corpus
125,I need a flight as soon as possible,airline_corpus
126,willing to stake my political career on it,brown_university_corpus
127,can i book another flight?,airline_corpus
128,A House committee which heard his local option proposal is expected to give it a favorable report although the resolution faces hard sledding later,brown_university_corpus
129,I want to change my flight.,airline_corpus
130,The senate quickly whipped through its meager fare of House bills approved by committees passing the three on the calendar,brown_university_corpus
131,I need to change my flight. Can you help me?,airline_corpus
132,Another enlarged authority of the Beaumont Navigation District,brown_university_corpus
133,there are more options as to the itinerary of this flight,airline_corpus
134,Without dissent senators passed a bill by Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district,brown_university_corpus
135,I need to get a different flight.,airline_corpus
136,Two tax revision bills were passed,brown_university_corpus
137,can i change my flight time?,airline_corpus
138,Instead retailers would sign a certificate of correctness violation of which would carry a penalty of one to five years in prison plus a fine,brown_university_corpus
139,yes for personal reasons,airline_corpus
140,The other bill by Aikin of Paris would relieve real estate brokers who pay their own annual licensing fee from the annual occupation license on brokers in such as stocks and bonds,brown_university_corpus
141,"I have some health problems, is it possible to change the flight?",airline_corpus
142,Marshall Formby of Plainview former chairman of the Texas Highway Commission suggested a plan to fill by appointment future vacancies in the Legislature and Congress eliminating the need for costly special elections,brown_university_corpus
143,I must change my flight.,airline_corpus
144,Austin Texas,brown_university_corpus
145,I would like to change your flight.,airline_corpus
146,An adverse vote of 81 to 65 kept in the State Affairs Committee a bill which would order the referendum on the April 4 ballot when Texas votes on a senator,brown_university_corpus
147,que debo hacer para cambiar mi  vuelo?,airline_corpus
148,The West Texan reported that he had finally gotten Chairman Bill Hollowell of the committee to set it for public hearing on 22,brown_university_corpus
149,Hi there was a problem and i need to change my flight,airline_corpus
150,Opponents generally argued that the ballot give enough information about tax proposals for the voters to make an intelligent choice,brown_university_corpus
151,no it's good like that,airline_corpus
152,Austin Texas,brown_university_corpus
153,I need to change my flight.,airline_corpus
154,James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise a Wise County hamlet of 250 people,brown_university_corpus
155,I would like to change my flight,airline_corpus
156,Most of the fire was directed by Cotten against Dallas and Parkhouse,brown_university_corpus
157,what flight times are available to change mine,airline_corpus
158,Cotten construed this as a veiled effort by Parkhouse to help Dallas and other large cities get money which Cotten felt could better be spent providing water for rural Texas,brown_university_corpus
159,hi could you please tell me again the information that i did not understand,airline_corpus
160,The defenders were mostly legislators like Buchanan of Dumas Eligio Kika De La Garza of Mission Sam Collins of Newton and Joe Chapman of Sulphur Springs,brown_university_corpus
161,excuse  me  i need change my flight,airline_corpus
162,Dallas and Fort Worth can vote bonds,brown_university_corpus
163,Help me to change my flight?,airline_corpus
164,Austin Texas,brown_university_corpus
165,I have to change my fly?,airline_corpus
166,Henry Grover who teaches history in the Houston public schools would reduce from 24 to 12 semester hours the teaching methods courses required to obtain a junior or senior high school teaching certificate,brown_university_corpus
167,i need to change my flight so can u tell me the other date,airline_corpus
168,Grover also would require high teachers to have at least 24 semester hours credit in the subject they are teaching,brown_university_corpus
169,"I need to change my flight, can you help me?",airline_corpus
170,A person with a degree in physics chemistry math or English yet who has not taken Education courses is not permitted to teach in the public schools said Grover,brown_university_corpus
171,I need to know if there is availability to change my flight,airline_corpus
172,of the 150 representatives immediately joined Grover as of the proposal,brown_university_corpus
173,Can you help me get a new flight?,airline_corpus
174,The board of regents of Paris Junior College has named Clarence Charles Clark of Hays as the new president,brown_university_corpus
175,The journey must be changed,airline_corpus
176,Clark holds an earned Doctor of Education degree from the University of Oklahoma,brown_university_corpus
177,I need to change my flight.,airline_corpus
178,In addition Clark has studied at Rhode Island State College and Massachusetts Institute of Technology,brown_university_corpus
179,i want to change my flight,airline_corpus
180,Clark has served as teacher and principal in Oklahoma high schools as teacher and athletic director at Raymondville Texas High School as an instructor at the University of Oklahoma and as an associate professor of education at Fort Hays State College,brown_university_corpus
181,Is there another trip?,airline_corpus
182,Denton Texas,brown_university_corpus
183,I need help to change the flight,airline_corpus
184,State and federal legislation against racial discrimination in employment was called for yesterday in a report of a blue ribbon citizens committee on the aid to dependent children program,brown_university_corpus
185,Is there availability to change my flight ?,airline_corpus
186,The report called racial discrimination in employment one of the most serious causes of family breakdown desertion and ADC dependency,brown_university_corpus
187,I need to change my flight,airline_corpus
188,The monthly cost of ADC to more than recipients in the county is million dollars said Virgil Martin president of Carson Pirie Scott committee chairman,brown_university_corpus
189,Can I change my flight?,airline_corpus
190,The volume of ADC cases will decrease Martin reported when the community is able to deal effectively with two problems Relatively limited skills and discrimination in employment because of color,brown_university_corpus
191,i want to change my flight,airline_corpus
192,Calls for extension,brown_university_corpus
193,Are there any direct flights to my destination?,airline_corpus
194,Extension of the ADC program to all children in need living with any relatives including both parents as a means of preserving family unity,brown_university_corpus
195,there are direct flights to this destination please,airline_corpus
196,Several defendants in the Summerdale police burglary trial made statements indicating their guilt at the time of their arrest Judge James Parsons was told in Criminal court yesterday,brown_university_corpus
197,Is there are any direct flights to my location?,airline_corpus
198,Bellows made the disclosure when he asked Judge Parsons to grant his client Alan Clements 30 a separate trial,brown_university_corpus
199,Could you please check the direct flights to my location?,airline_corpus
200,Fears prejudicial aspects,brown_university_corpus
201,I'd like to see the flights in my address,airline_corpus
202,Some of the defendants strongly indicated they knew they were receiving stolen property,brown_university_corpus
203,there are direct flights?,airline_corpus
204,Judge Parsons leaned over the bench and inquired You mean some of the defendants made statements admitting this,brown_university_corpus
205,There's any flight to Caracas?,airline_corpus
206,What this amounts to if true is that there will be a fight in this case,brown_university_corpus
207,hi could you please tell me again the information that i did not understand,airline_corpus
208,Washington July 24,brown_university_corpus
209,Is there  any direct flights to my location,airline_corpus
210,The President spent much of the at his summer home on Cape Cod writing the first drafts of portions of the address with the help of White House aids in Washington with whom he talked by telephone,brown_university_corpus
211,pleas can u tell me is there any direct flights to cairo,airline_corpus
212,Decisions are made,brown_university_corpus
213,the flights are direct to my destination,airline_corpus
214,Salinger said the work President Kennedy advisers and members of his staff were doing on the address involved composition and wording rather than last minute decisions on administration plans to meet the latest Berlin crisis precipitated by demands and proposals for the city,brown_university_corpus
215,Is there a direct flight to Egypt,airline_corpus
216,Karns said that the cases involved a matter of even greater significance than the guilt or innocence of the 50 persons,brown_university_corpus
217,there are direct flights?,airline_corpus
218,ruling pertained to eight of the 10 cases,brown_university_corpus
219,there are direct flights from here?,airline_corpus
220,Contempt proceedings originally had been brought against 677 persons in 133 precincts by Morris Wexler special prosecutor,brown_university_corpus
221,I need a direct flight to Wiscosin,airline_corpus
223,i  need to check if there are any direct flights to my location,airline_corpus
224,Wexler has denied repeatedly that coercion was used in questioning,brown_university_corpus
225,How much is the weight of my luggage?,airline_corpus
226,He said this constituted a very serious misuse of the Criminal court processes,brown_university_corpus
227,ljkfahfquow  iqweio qoij,airline_corpus
228,Faced seven cases,brown_university_corpus
229,What is the maximum weight for a checked bag?,airline_corpus
230,Wexler had charged the precinct judges in these cases with complementary miscount of the vote in which votes would be taken from one candidate and given to another,brown_university_corpus
231,what is the maximum weight that I should carry by suitcase?,airline_corpus
232,The case of the judges in the 58th precinct of the 23d ward had been heard previously and taken under advisement by Karns,brown_university_corpus
233,Could you tell me what is the maximum weight of a bag?,airline_corpus
234,Claims precedent lacking,brown_university_corpus
235,What's the maximum weight for my bag?,airline_corpus
236,Washington 9,brown_university_corpus
237,what is the maximum weight in the suitcase,airline_corpus
238,The President in a special message to Congress tied in with his aged care plan requests for large federal grants to finance medical and dental scholarships build 20 new medical and 20 new dental schools and expand child health care and general medical research,brown_university_corpus
239,hi could you please tell me again the information that i did not understand,airline_corpus
240,It was defeated in Congress last year,brown_university_corpus
241,What's the maximum weight for my bag?,airline_corpus
242,It would be financed by boosting the social security payroll tax by as much as a year for each of the workers now paying such taxes,brown_university_corpus
243,can you tell me how much weight can i take with me,airline_corpus
244,The Kennedy plan alone would boost the base to a year and the payroll tax to per cent per cent each,brown_university_corpus
245,Do you have maximum weight?,airline_corpus
246,The payroll tax would actually rise to per cent starting 1 1963 if the plan is approved because the levy is already scheduled to go up by 1 per cent on that date to pay for other social security costs,brown_university_corpus
247,what would be the maximum weight for my travel bag,airline_corpus
248,Officials estimated the annual tax boost for the medical plan would amount to billion dollars and that medical benefits paid out would run 1 billion or more in the first year 1963,brown_university_corpus
249,What is the maximum weight for the bag checked,airline_corpus
250,Other parts of the Kennedy health plan would entail federal grants of 750 million to 1 billion dollars over the next 10 years,brown_university_corpus
251,tell me how much is the maximum luggage weight per person,airline_corpus
252,Nursing home care,brown_university_corpus
253,What is my luggage weight limit?,airline_corpus
254,Full payment of hospital bills for stays up to 90 days for each illness except that the patient would pay a day of the cost for the first nine days,brown_university_corpus
255,Where do I see the registered weight of my luggage?,airline_corpus
256,Full payment of nursing home bills for up to 180 days following discharge from a hospital,brown_university_corpus
257,I know it's on time but do you have a weight limit for a baggage?,airline_corpus
258,3,brown_university_corpus
259,Is there a wheelchair available for my grandmother?,airline_corpus
260,4,brown_university_corpus
261,"Please, I need a wheelchair on the landing of that flight.",airline_corpus
262,The President noted that Congress last year passed a law providing grants to states to help pay medical bills of the needy aged,brown_university_corpus
263,"I am injured, could you get me a wheelchair?",airline_corpus
264,He said his plan is designed to meet the needs of those millions who have no wish to receive care at the expense but who are nevertheless staggered by the drain on their savings or those of their children caused by an extended hospital stay,brown_university_corpus
265,I want to request a wheelchair for the disabled.,airline_corpus
266,This is not a program of socialized medicine,brown_university_corpus
267,hi could you please tell me again the information that i did not understand,airline_corpus
268,Every person will choose his own doctor and hospital,brown_university_corpus
269,May I request a wheelchair when I land?,airline_corpus
270,The plan does not cover doctor bills,brown_university_corpus
271,"I need to get a wheelchair for my grandma, I hope you can get me one.",airline_corpus
272,Apart from the aged care plan the most ambitious and costly proposals were for federal scholarships and grants to build or enlarge medical and dental schools,brown_university_corpus
273,I'd like to have wheelchair service when I land.,airline_corpus
274,Moreover he said many qualified young people are not going into medicine and dentistry because they afford the schooling costs,brown_university_corpus
275,i want to chair what do you know about that?,airline_corpus
276,The scholarship plan would provide federal contributions to each medical and dental school equal to a year for of the first year students,brown_university_corpus
277,I would like to request a wheelchair after landing.,airline_corpus
278,In addition the government would pay a cost of education grant to the schools for each in scholarship grants,brown_university_corpus
279,i want a wheelchair please,airline_corpus
280,The President recommended federal matching grants totaling 700 million dollars in 10 years for constructing new medical and dental schools or enlarging the capacity of existing ones,brown_university_corpus
281,Can you help me get a new flight?,airline_corpus
282,In the area of community health services the President called for doubling the present 10 million dollar a year federal grants for nursing home construction,brown_university_corpus
283,I need a wheelchair when I land,airline_corpus
284,He further proposed grants of an unspecified sum for experimental hospitals,brown_university_corpus
285,i will need a wheelchair upon landing,airline_corpus
286,He also asked Congress to approve establishment of a national child health institute,brown_university_corpus
287,How can I get assistance to obtain a wheelchair?,airline_corpus
288,The President said he will ask Congress to increase grants to states for vocational rehabilitation,brown_university_corpus
289,¿posee la aerolinea servicio de silla de ruedas?,airline_corpus
290,For medical research he asked a 20 million dollar a year increase from 30 to 50 millions in matching grants for building research facilities,brown_university_corpus
291,Is a travel advisory at my destination?,airline_corpus
292,The President said his proposals combine the indispensable elements in a sound health program people knowledge services facilities and the means to pay for them,brown_university_corpus
293,May I find a travel advisory where I am headed?,airline_corpus
294,Congressional reaction to the message was along expected lines,brown_university_corpus
295,Is a travel advertisement available?,airline_corpus
296,Those who backed a similar plan last year hailed the message,brown_university_corpus
297,Is there a travel advisory in Athens?,airline_corpus
298,Halleck said the voluntary care plan enacted last year should be given a fair trial first,brown_university_corpus
299,Can there be a notice to the place where I am traveling?,airline_corpus
300,Washington 9,brown_university_corpus
301,Could you tell me where the travel advices are?,airline_corpus
302,Only 11 senators were on the floor and there was no record vote,brown_university_corpus
303,hi could you please tell me again the information that i did not understand,airline_corpus
304,Customary Senate rules were ignored in order to speed approval of the Negro leader as administrator of the housing and home finance agency,brown_university_corpus
305,Is there a travel advisory to the country?,airline_corpus
306,Enforce by demand,brown_university_corpus
307,i want to take travel advisory how can i ?,airline_corpus
308,Oslo,brown_university_corpus
309,Is there a travel advisory in that place?,airline_corpus
310,This has been a working session of an organization that by its very nature can only proceed along its route step by step and without dramatic changes,brown_university_corpus
311,hi could you please tell me again the information that i did not understand,airline_corpus
312,This atmosphere of understanding has been particularly noticeable where relations are concerned between the colonialist powers and those who have never or not for a long time had such problems,brown_university_corpus
313,I want to see travel advisory in the flight I am travelling.,airline_corpus
314,Explosion avoided,brown_university_corpus
315,you could check if there is a travel notice to miami,airline_corpus
316,The general remarkably courteous explanation has left basic positions unchanged but there has been no explosion in the council,brown_university_corpus
317,This is the first time I travel Can you advise me,airline_corpus
318,Canada alone has been somewhat out of step with the Oslo attempt to get all the allied cars back on the track behind the NATO locomotive,brown_university_corpus
319,are there any travel advisoy in my distination  country,airline_corpus
320,On the negative side of the balance sheet must be set some disappointment that the United States leadership has not been as much in evidence as hoped for,brown_university_corpus
321,I need to know if there is any travel notice in orlando ??,airline_corpus
322,But he hastened to add that if United States policies were not always clear despite analysis of the various global danger points and setbacks for the West this may merely mean the new administration has not yet firmly fixed its policy,brown_university_corpus
323,I need my frequent flier number,airline_corpus
324,A certain vagueness may also be caused by tactical appreciation of the fact that the present council meeting is a semipublic affair with no fewer than six Soviet correspondents accredited,brown_university_corpus
325,Could you remind me of my number?,airline_corpus
326,The Secretary of State himself in his first speech gave some idea of the tremendous march of events inside and outside the United States that has preoccupied the new administration in the past four months,brown_university_corpus
327,What is my frequent flier number?,airline_corpus
328,The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin an affirmation once again taken up by the council as a whole,brown_university_corpus
329,how could I get my frequent flyer number,airline_corpus
330,The greatest achievement is perhaps the rekindling of NATO realization that friction wherever it take place around the globe is in essence the general conflict between two entirely different societies and must be treated as such without regard to geographical distance or lack of apparent connection,brown_university_corpus
331,What is my frequent flier number?,airline_corpus
332,This increase in the threshold as the conventional forces strengthening is called will prove one of the most difficult problems in the months to come,brown_university_corpus
334,Washington,brown_university_corpus
335,"Please, I need my frequent flier number?",airline_corpus
336,There is little optimism here that the Communists will be any more docile at the conference table than they were in military actions on the ground in Laos,brown_university_corpus
337,"Good day, could you give me my travel number?",airline_corpus
338,They count on the aid of the neutral countries attending the Geneva conference to achieve this,brown_university_corpus
339,could you give me my travel number,airline_corpus
340,But it is apparent that no acceptable formula has been found to prevent such a possibility,brown_university_corpus
341,what is my frequent flier number?,airline_corpus
342,The inclination here is to accept a de facto in Laos rather than continue to insist on a verification of the by the international control commission before participating in the Geneva conference,brown_university_corpus
343,Could I have my frequent flier number please?,airline_corpus
344,It excuses these actions as being the chain reaction to basic errors made in the previous administration,brown_university_corpus
345,Can you help me get a new flight?,airline_corpus
346,But with the months moving on and the immediate confrontations with the Communists showing no gain for the free world the question arises,brown_university_corpus
347,can you give me my frequent flyer number,airline_corpus
348,Former Richard Nixon in Detroit called for a firmer and tougher policy toward the Soviet Union,brown_university_corpus
349,Where do I get my frequent flyer number?,airline_corpus
350,GOP restrained,brown_university_corpus
351,Is there any way to travel without it?,airline_corpus
352,They can hardly restrain themselves from raising the question of whether Republicans if they had been in power would have made amateurish and monumental blunders in Cuba,brown_university_corpus
353,i need your frequent flier number,airline_corpus
354,His reply he said was that he agreed to the need for unity in the country now,brown_university_corpus
355,Can you repeat the answer?,airline_corpus
356,The Republicans some weeks ago served notice through Senator Thruston Morton R of Kentucky chairman of the Republican National Committee that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination,brown_university_corpus
357,"I did not understand what you said, please repeat?",airline_corpus
358,Detente urged,brown_university_corpus
359,Can you repeat what I just said?,airline_corpus
360,It recommends that the United States seek instead to detach the Castro regime from the Communist bloc by working for a diplomatic detente and a resumption of trade relations,brown_university_corpus
361,hi could you please tell me again the information that i did not understand,airline_corpus
362,Nixon for his part would oppose intervention in Cuba without specific provocation,brown_university_corpus
363,"could you repeat that, please",airline_corpus
364,Until the Cuban fiasco and the Communist military victories in Laos almost any observer would have said that President Kennedy had blended a program that respected generally the opinions voiced both by Nixon and the professors,brown_university_corpus
365,hi could you please tell me again the information that i did not understand,airline_corpus
366,Very early in his administration he informed the Kremlin through diplomatic channels a high official source disclosed that the new administration would react even tougher than the Eisenhower administration would during the formative period of the administration,brown_university_corpus
367,Can you please repeat what you just said?,airline_corpus
368,Policies on nuclear test ban negotiations were reviewed and changed,brown_university_corpus
369,I can not understand repeat,airline_corpus
370,Foreign aid programs were revamped to give greater emphasis to economic aid and to encourage political reform in recipient nations,brown_university_corpus
371,I could repeat what I just said,airline_corpus
372,Again and again it asked the Communists to freeze the military situation in Laos,brown_university_corpus
373,Can you repeat the information you just gave me?,airline_corpus
374,And after several correspondents went into Pathet Lao territory and exposed the huge administration spokesmen acclaimed them for performing a great service and laid the matter before the Southeast Asia Treaty Organization,brown_university_corpus
375,can you repeat what do you said?,airline_corpus
376,But the Communists never gave sufficient provocation at any one time for the United States to want to risk a limited or an war over Laos,brown_university_corpus
377,"I beg your pardon, can you repeat that?",airline_corpus
379,"excuse me, do not listen to what you said",airline_corpus
380,The administration declared itself in favor of a neutralized Laos,brown_university_corpus
381,I would like a refund,airline_corpus
382,There certainly was not any more energy displayed after it was clear the United States would not back the government to the hilt,brown_university_corpus
383,"The flight was delayed, can I get a refund?",airline_corpus
384,One factor was the statement of Senator Fulbright D of Arkansas chairman of the Senate Foreign Relations Committee,brown_university_corpus
385,Can I cancel the trip and restore my money?,airline_corpus
386,Washington,brown_university_corpus
387,I want you to compensate for my inconvenience.,airline_corpus
388,The President is deeply concerned over this problem and its effect upon the vitality of the nation,brown_university_corpus
389,hi could you please tell me again the information that i did not understand,airline_corpus
390,The President asks the support and cooperation of Congress in his efforts through the enactment of legislation to provide federal grants to states for specified efforts in combating this disturbing crime trend,brown_university_corpus
391,hi could you please tell me again the information that i did not understand,airline_corpus
392,The President has also called upon the Attorney General the Secretary of Health Education and Welfare and the Secretary of Labor to coordinate their efforts in the development of a program of federal leadership to assist states and local communities in their efforts to cope with the problem,brown_university_corpus
393,my flight is delay i want my refund,airline_corpus
394,His sense of urgency in this matter stems from the fact that court cases and juvenile arrests have more than doubled since 1948 each year showing an increase in offenders,brown_university_corpus
395,Can you help me get a new flight?,airline_corpus
396,East Providence should organize its civil defense setup and begin by appointing a director Raymond Hawksley the present city CD head believes,brown_university_corpus
397,I want a refund that flight was awful.,airline_corpus
